,predVal0,dPredVel0,v0*2,d(v0*2)
0,8.575894125766247e-05,1.8748928820009184e-05,8.396305625524769e-05,4.700792663396765e-06
1,3.727356805715014e-05,1.2060337112642544e-05,8.460236886632826e-05,4.743907984133315e-06
2,5.978729519977006e-05,8.206335198966593e-06,7.017543859649122e-05,3.8071150744392063e-06
3,6.379567733727506e-05,7.495100521316328e-06,7.423904974016333e-05,4.063548348241503e-06
4,5.9840077564860035e-05,7.554623553293047e-06,7.209805335255949e-05,3.927743955534114e-06
